"strongs_number","original_word","english_translation","transliteration","translated_word","word"
"G0003","αβαδδων","Abaddon","Abaddṓn","أبادون","أَبَدُّونَ"
"G0005","αββα","Father","Abbâ","أب","يَا أَبَا"
"G0009","αβιληνη","Abilene","Abilēnḗ","أبيلين","عَلَى الأَبِلِيَّةِ"
"G0010","αβιουδ","Abiud","Abioúd","ابيود","أَبِيهُودَ"
"G0010","αβιουδ","Abiud","Abioúd","ابيود","وَأَبِيهُودُ"
"G0013","αγαβος","Agabus","Ágabos","أغابوس","أَغَابُوسُ"
"G0067","αγριππας","Agrippa","Agríppas","أغريبا","أَغْرِيبَاسُ"
"G0078","αδδι","Addi","Addí","آدي","بْنِ أَدِّي"
"G0098","αδραμυττηνος","of Adramyttene","Adramyttēnós","من Adramyttene","أَدْرَامِيتِينِيَّةٍ"
"G0099","αδριας","Adriatic Sea","Adrías","البحر الأدرياتيكي","بَحْرِ أَدْرِيَا"
"G0107","αζωρ","Azor","Azṓr","أزور","عَازُورَ"
"G0107","αζωρ","Azor","Azṓr","أزور","وَعَازُورُ"
"G0116","αθηναι","Athens","Athēnai","أثينا","أَثِينَا"
"G0129","αιμα","blood","haîma","دم","دَمُكُمْ"
"G0129","αιμα","blood","haîma","دم","دَمُهُ"
"G0129","αιμα","blood","haîma","دم","الدَّمَ"
"G0129","αιμα","blood","haîma","دم","الدَّمِ"
"G0129","αιμα","blood","haîma","دم","بِالدَّمِ"
"G0129","αιμα","blood","haîma","دم","بِدَمٍ"
"G0129","αιμα","blood","haîma","دم","بِدَمِ"
"G0129","αιμα","blood","haîma","دم","بِدَمِكَ"
"G0129","αιμα","blood","haîma","دم","بِدَمِهِ"
"G0129","αιμα","blood","haîma","دم","بِدَمِهَا"
"G0129","αιμα","blood","haîma","دم","بِدَمِي"
"G0129","αιμα","blood","haîma","دم","دَمٌ"
"G0129","αιμα","blood","haîma","دم","دَمٍ"
"G0129","αιμα","blood","haîma","دم","دَمَ"
"G0129","αιμα","blood","haîma","دم","دَمُ"
"G0129","αιμα","blood","haîma","دم","دَمِ"
"G0129","αιμα","blood","haîma","دم","دَمًا"
"G0129","αιμα","blood","haîma","دم","دَمَهُ"
"G0129","αιμα","blood","haîma","دم","دَمِهَا"
"G0129","αιμα","blood","haîma","دم","دَمَهُمْ"
"G0129","αιμα","blood","haîma","دم","دَمِي"
"G0129","αιμα","blood","haîma","دم","كَالدَّمِ"
"G0129","αιμα","blood","haîma","دم","لِدَمِ"
"G0129","αιμα","blood","haîma","دم","لِدِمَائِنَا"
"G0129","αιμα","blood","haîma","دم","وَالدَّمِ"
"G0129","αιμα","blood","haîma","دم","وَالدَّمُ"
"G0129","αιμα","blood","haîma","دم","وَدَمُ"
"G0129","αιμα","blood","haîma","دم","وَدَمٍ"
"G0129","αιμα","blood","haîma","دم","وَدَمًا"
"G0129","αιμα","blood","haîma","دم","وَدَمِهِ"
"G0129","αιμα","blood","haîma","دم","وَدَمِي"
"G0132","αινεας","Aeneas","Ainéas","اينيس","يَا إِينِيَاسُ"
"G0132","αινεας","Aeneas","Ainéas","اينيس","إِينِيَاسُ"
"G0137","αινων","Aenon","Ainṓn","أينون","عَيْنِ نُونٍ"
"G0184","ακελδαμα","Akeldama","Akeldamá","اكيلداما","حَقَلْ دَمَا"
"G0207","ακυλας","Aquila","Akýlas","أكويلا","أَكِيلاَ"
"G0207","ακυλας","Aquila","Akýlas","أكويلا","وَأَكِيلاَ"
"G0222","αλεξανδρινος","Alexandrian","Alexandrînos","اسكندراني","إِسْكَنْدَرِيَّةً"
"G0222","αλεξανδρινος","Alexandrian","Alexandrînos","اسكندراني","إِسْكَنْدَرِيَّةٍ"
"G0223","αλεξανδρος","Alexander","Aléxandros","الكسندر","أَلَكْسَنْدَرُسَ"
"G0223","αλεξανδρος","Alexander","Aléxandros","الكسندر","إِسْكَنْدَرَ"
"G0223","αλεξανδρος","Alexander","Aléxandros","الكسندر","إِسْكَنْدَرُ"
"G0223","αλεξανδρος","Alexander","Aléxandros","الكسندر","وَالإِسْكَنْدَرُ"
"G0223","αλεξανδρος","Alexander","Aléxandros","الكسندر","وَالإِسْكَنْدَرِ"
"G0256","αλφαιος","Alphaeus","Alphaîos","حلفا","بْنَ حَلْفَى"
"G0256","αλφαιος","Alphaeus","Alphaîos","حلفا","حَلْفَى"
"G0291","αμπλιας","Ampliatus","Amplías","أمبلياتوس","أَمْبِلِيَاسَ"
"G0295","αμφιπολις","Amphipolis","Amphípolis","أمفيبوليس","أَمْفِيبُولِيسَ"
"G0367","ανανιας","Ananias","Ananías","حنانيا","يَا حَنَانِيَّا"
"G0367","ανανιας","Ananias","Ananías","حنانيا","يَاحَنَانِيَّا"
"G0367","ανανιας","Ananias","Ananías","حنانيا","حَنَانِيَّا"
"G0406","ανδρεας","Andrew","Andréas","أندرو","أَنْدَرَاوُسَ"
"G0406","ανδρεας","Andrew","Andréas","أندرو","أَنْدَرَاوُسُ"
"G0406","ανδρεας","Andrew","Andréas","أندرو","لأَنْدَرَاوُسَ"
"G0406","ανδρεας","Andrew","Andréas","أندرو","وَأَنْدَرَاوُسَ"
